ù?ù,ùùù¯ù?ùù,ùùù?ùù,ùùùù?ùù,ùù‚?ùù,ùùù?ùù,?ùùùù¸
2024-01-01,"28,095.8",790.56,21542.4,3329.82,7306.8,"61,065.4"
2024-01-02,"34,018.6",381.06,2822.4,1528.56,5544.004,"44,294.6"
2024-01-03,"120,041.3",5867.82,355478.4,17782.02,77631.6,"576,801.1"
2024-01-04,"20,167.2",2197.26,66412.8,2639.16,20049.6,"111,466.0"
2024-01-05,"22,671.4",1224.9,57168,4688.64,9935.999,"95,688.9"
2024-01-06,"76,793.8",4659.12,120009.6,13464.54,43525.2,"258,452.2"
2024-01-07,"80,468.6",6441.48,482198.4,21675.6,105334.8,"696,118.9"
2024-01-08,"38,567.5",1292.22,32976,4307.22,18030,"95,173.0"
2024-01-09,"19,026.7",990.36,25200,4116.96,8037.601,"57,371.6"
2024-01-10,"197,648.6",10828.26,334454.4,10789.2,63367.2,"617,087.7"
2024-01-11,"78,858.7",6094.08,177436.8,2765.16,39602.4,"304,757.2"
2024-01-12,"62,972.6",5076.72,126835.2,5235.48,40176,"240,296.0"
2024-01-13,"102,997.4",1634.4,34560,11043.36,23240.4,"173,475.6"
2024-01-14,"79,561.4",4722.84,140284.8,12113.1,35544,"272,226.2"
2024-01-15,"182,011.7",11662.74,344966.4,20249.82,84864,"643,754.7"
2024-01-16,"101,397.6",1627.74,41904,8290.08,17802,"171,021.4"
2024-01-17,"62,948.2",1145.34,44294.4,8030.88,13394.4,"129,813.2"
2024-01-18,"16,204.3",1287,18057.6,6445.08,16203.6,"58,197.6"
2024-01-19,"76,311.4",1375.56,434707.2,1811.16,82270.8,"596,476.1"
2024-01-20,"99,806.4",0,451497.6,3366.72,78606,"633,276.7"
2024-01-21,"136,817.3",4571.28,162547.2,18096.12,43369.2,"365,401.1"
2024-01-22,"161,146.1",207.36,604771.2,13523.04,58954.8,"838,602.5"
2024-01-23,"155,917.4",15.3,597340.8,13453.02,27750,"794,476.5"
2024-01-24,"130,472.6",6.12,614044.8,23308.56,35535.6,"803,367.7"
2024-01-25,"129,805.9",7703.28,402192,21314.88,80692.8,"641,708.9"
2024-01-26,"81,089.3",8408.16,238262.4,15398.1,77856,"421,013.9"
2024-01-27,"89,906.4",4897.62,129254.4,8330.22,55806,"288,194.6"
2024-01-28,"95,688.0",9129.24,280598.4,13544.1,73429.2,"472,388.9"
2024-01-29,"55,202.4",1078.02,24595.2,1137.6,13434,"95,447.2"
2024-01-30,"1,016.6",653.04,27072,1678.86,12774,"43,194.5"
2024-01-31,622.1,1086.66,28166.4,336.78,13314,"43,525.9"
2024-02-01,"49,161.6",3323.34,72576,15157.08,40485.6,"180,703.6"
2024-02-02,"25,797.6",3754.62,74851.2,11090.16,31370.4,"146,864.0"
2024-02-03,"26,959.7",8244.18,129772.8,1690.38,52939.2,"219,606.2"
2024-02-04,"51,969.6",9003.96,200764.8,3433.86,50328,"315,500.2"
2024-02-05,"100,692.0",6350.58,211680,12728.52,52491.6,"383,942.7"
2024-02-06,"190,980.0",5087.34,107510.4,16633.62,41104.8,"361,316.2"
2024-02-07,"126,845.3",5971.14,173664,20845.26,46957.2,"374,282.9"
2024-02-08,"171,046.1",4942.08,144028.8,14469.48,39886.8,"374,373.3"
2024-02-09,"93,935.5",9262.62,258912,15644.7,57735.6,"435,490.4"
2024-02-10,"14,467.7",4306.86,118051.2,7808.94,28188,"172,822.7"
2024-02-11,"52,253.3",5628.96,340963.2,15961.32,48541.2,"463,348.0"
2024-02-12,"22,453.9",1659.24,39168,3940.74,9028.8,"76,250.7"
2024-02-13,"73,915.2",1562.04,69811.2,14639.22,13352.4,"173,280.1"
2024-02-14,"19,872.0",3936.6,204220.8,10056.06,23577.6,"261,663.1"
2024-02-15,"101,682.7",2131.02,293500.8,13324.86,7759.02,"418,398.4"
2024-02-16,"74,101.0",1216.26,36950.4,2103.3,8148,"122,518.9"
2024-02-17,"8,271.4",1398.42,60710.4,1769.58,10186.8,"82,336.6"
2024-02-18,"95,266.1",3549.6,300672,4782.06,32604,"436,873.7"
